fields,supports,top100,top200,diff
cit2016 <= 107650.00 AND pubTJP2017 <= 47.15 AND cit2017 <= 33695.50,"['0.06', '0.44']",0.06,0.44,-0.38
cit2017 <= 75794.50 AND pubTJP2017 <= 47.15 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
authors2016 <= 6535.50 AND pubTJP2017 <= 47.15 AND cit2018 <= 17064.00,"['0.07', '0.44']",0.07,0.44,-0.37
authors2018 <= 6722.50 AND pubTJP2017 <= 47.15 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
pub2018 <= 8184.50 AND citPA2017 <= 12.26 AND pub2016 <= 3802.50,"['0.09', '0.44']",0.09,0.44,-0.35
pub2018 <= 8184.50 AND citPA2017 <= 12.26 AND pub2016 > 3802.50,"['0.27', '0.44']",0.27,0.44,-0.16999999999999998
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND pub2016 <= 4733.50,"['0.05', '0.44']",0.05,0.44,-0.39
cit2016 <= 107650.00 AND citPA2017 <= 9.83 AND intCol2018 > 40.75,"['0.05', '0.44']",0.05,0.44,-0.39
pubTJP2017 <= 47.65 AND cit2018 <= 35720.00 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
h5Index <= 172.50 AND pub2017 <= 4222.50 AND pubTJP2016 <= 45.45,"['0.05', '0.44']",0.05,0.44,-0.39
authors2016 <= 6535.50 AND pubPA2018 > 1.05 AND pubTJP2017 <= 47.35,"['0.23', '0.44']",0.23,0.44,-0.21
authors2017 <= 7050.50 AND pub2016 <= 3802.50 AND pubTJP2017 <= 46.80,"['0.05', '0.44']",0.05,0.44,-0.39
cit2017 <= 75794.50 AND citPA2017 <= 12.36 AND cit2016 <= 49470.50,"['0.11', '0.44']",0.11,0.44,-0.33
cit2017 <= 75794.50 AND intCol2018 <= 67.70 AND pub2017 <= 3859.00,"['0.06', '0.44']",0.06,0.44,-0.38
cit2016 <= 107650.00 AND pubPA2016 <= 1.29 AND pub2016 <= 3802.50,"['0.07', '0.44']",0.07,0.44,-0.37
cit2017 <= 75794.50 AND intCol2018 <= 67.70 AND pub2017 <= 3859.00,"['0.06', '0.44']",0.06,0.44,-0.38
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND pub2016 <= 4733.50,"['0.05', '0.44']",0.05,0.44,-0.39
authors2016 <= 6535.50 AND intCol2018 <= 67.70 AND pub2017 <= 3859.00,"['0.06', '0.44']",0.06,0.44,-0.38
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND pub2016 <= 4733.50,"['0.05', '0.44']",0.05,0.44,-0.39
cit2016 <= 107650.00 AND citPP2017 <= 10.25 AND cit2018 <= 17064.00,"['0.09', '0.44']",0.09,0.44,-0.35
cit2016 <= 107650.00 AND citPA2017 <= 9.83 AND intCol2018 > 40.75,"['0.05', '0.44']",0.05,0.44,-0.39
pub2016 <= 7543.00 AND citPA2017 <= 9.83 AND intCol2016 > 35.45,"['0.06', '0.44']",0.06,0.44,-0.38
pubTJP2017 <= 47.65 AND pub2017 <= 7647.00 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
cit2017 <= 75794.50 AND pub2017 <= 3859.00 AND intCol2018 <= 68.30,"['0.06', '0.44']",0.06,0.44,-0.38
pub2018 <= 8184.50 AND citPA2018 <= 5.45 AND h5Index > 104.50,"['0.25', '0.44']",0.25,0.44,-0.19
pubTJP2018 <= 38.70 AND pub2016 <= 6225.50 AND pubTJP2016 <= 47.55,"['0.04', '0.44']",0.04,0.44,-0.4
pub2017 <= 7940.00 AND pubTJP2016 <= 43.85 AND pubTJP2018 <= 38.15,"['0.08', '0.44']",0.08,0.44,-0.36
pubTJP2017 <= 47.65 AND pub2018 <= 8205.00 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
cit2016 <= 107650.00 AND pubPA2017 <= 1.33 AND pub2016 <= 3802.50,"['0.07', '0.44']",0.07,0.44,-0.37
pub2018 <= 8184.50 AND pub2017 > 3859.00 AND pubTJP2018 <= 43.25,"['0.23', '0.44']",0.23,0.44,-0.21
cit2016 <= 107650.00 AND citPA2017 <= 9.83 AND pub2016 <= 4733.50,"['0.05', '0.44']",0.05,0.44,-0.39
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND intCol2016 > 38.20,"['0.05', '0.44']",0.05,0.44,-0.39
cit2018 <= 35720.00 AND citPA2017 <= 9.83 AND intCol2016 > 38.20,"['0.05', '0.44']",0.05,0.44,-0.39
cit2016 <= 107650.00 AND pubTJP2017 <= 47.15 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
cit2016 <= 107650.00 AND pubTJP2017 <= 47.15 AND cit2017 <= 33695.50,"['0.06', '0.44']",0.06,0.44,-0.38
pubTCP2017 <= 24.65 AND cit2018 <= 36507.00 AND pub2016 <= 3802.50,"['0.06', '0.44']",0.06,0.44,-0.38
pubTJP2017 <= 47.65 AND pub2017 <= 7647.00 AND cit2018 > 17064.00,"['0.28', '0.44']",0.28,0.44,-0.15999999999999998
cit2017 <= 33596.00 AND pubTJP2017 <= 47.00,"['0.06', '0.44']",0.06,0.44,-0.38
pubTJP2018 <= 42.85 AND cit2016 <= 51421.50,"['0.06', '0.44']",0.06,0.44,-0.38
cit2017 <= 33596.00 AND pubTCP2018 <= 21.55,"['0.07', '0.44']",0.07,0.44,-0.37
cit2017 <= 75794.50 AND cit2017 > 33596.00 AND pubPA2016 <= 1.19,"['0.22', '0.45']",0.22,0.45,-0.23
cit2018 <= 35720.00 AND intCol2016 <= 66.15 AND pub2016 > 3802.50,"['0.34', '0.45']",0.34,0.45,-0.10999999999999999
cit2017 <= 75794.50 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2018 <= 35720.00 AND intCol2018 <= 67.70 AND cit2016 > 49470.50,"['0.32', '0.45']",0.32,0.45,-0.13
pubTJP2017 <= 47.65 AND pub2017 <= 7647.00 AND cit2017 > 33695.50,"['0.29', '0.45']",0.29,0.45,-0.16000000000000003
pubTJP2018 > 38.70 AND pub2017 <= 7940.00 AND acaCol2017 <= 8.35,"['0.31', '0.45']",0.31,0.45,-0.14
cit2016 <= 107650.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2018 <= 35720.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pub2018 <= 8184.50 AND pub2017 <= 3859.00 AND intCol2016 <= 66.75,"['0.06', '0.45']",0.06,0.45,-0.39
pub2018 <= 8184.50 AND pub2017 > 3859.00 AND pubPA2016 <= 1.19,"['0.26', '0.45']",0.26,0.45,-0.19
cit2016 <= 107650.00 AND pubTJP2017 <= 47.15 AND cit2018 <= 17064.00,"['0.07', '0.45']",0.07,0.45,-0.38
