University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"Nanyang Technological University",66.3,61.5,59.8,3.9,4,3.7,7812,7990,7499,40627,81364,117574,1.92,1.84,1.96,23.5,24.8,24.3,52.1,50.4,50.6,5.2,10.2,15.7,6723,6627,6349,6.042986762,12.27765203,18.51850685,1.161981258,1.205673759,1.181130887,176,1
"National University of Singapore",63.9,61.6,58.3,3.6,3.3,3.1,10148,9735,9503,46266,91212,138573,1.74,1.79,1.86,22.4,24.2,24.1,45.1,47.7,47,4.6,9.4,14.6,9995,9400,9285,4.628914457,9.703404255,14.92439418,1.015307654,1.035638298,1.023478729,173,1
"Princeton University",48.1,46.5,46.9,7.6,7.2,6.5,4876,4604,4518,28072,53352,81622,2.27,2.22,2.4,26.9,28,28.9,46.9,50.1,51.9,5.8,11.6,18.1,3583,3342,3164,7.834775328,15.96409336,25.79709229,1.360870779,1.377618193,1.427939317,167,1
"Cornell University",41.6,40,38.8,5.5,5.8,5.4,9059,8857,9075,45912,93126,149164,2.04,2.09,2.09,22.8,25.3,25.6,46.1,48.3,46.1,5.1,10.5,16.4,8570,8769,8855,5.357292882,10.61991105,16.84517222,1.05705951,1.010035352,1.02484472,203,1
"University of Pennsylvania",34.2,32.7,31.4,5.1,5.6,5,13120,11846,11642,64966,124120,191940,2.14,2.1,2.27,21.3,25.4,25.5,42.1,45.8,45.1,5,10.5,16.5,12502,12165,11527,5.196448568,10.20304151,16.65134033,1.049432091,0.97377723,1.009976577,214,1
"Tsinghua University",33.4,32.5,30.9,4.7,4.3,4.4,16544,14653,13918,73149,139278,177848,1.55,1.65,1.58,21.5,23.2,21.2,43.4,42.2,40.1,4.4,9.5,12.8,16766,15011,14093,4.362936896,9.278395843,12.61959838,0.986758917,0.976150823,0.987582488,177,1
"Yale University",39.8,39.4,38.7,4.6,4.8,5.2,9460,9167,8997,47548,102511,158394,2.02,2.15,2.35,23.5,27.1,28.3,46.1,48.5,49.6,5,11.2,17.6,9186,8588,8460,5.176137601,11.93653936,18.72269504,1.029827999,1.067419655,1.063475177,209,1
"Columbia University",43.1,41.2,39.8,5.9,6,5.9,11836,11317,11036,61288,125885,188038,2.1,2.26,2.3,21.8,24.8,26.2,43.4,47.7,48.6,5.2,11.1,17,10984,10270,10020,5.579752367,12.25754625,18.76626747,1.077567371,1.10194742,1.101397206,218,1
"Ecole Polytechnique",69.5,69.1,67.4,8.4,9.3,9.4,1924,1885,1786,9058,19831,25836,1.64,1.82,1.72,23.5,26,24.1,46.8,49.4,47,4.7,10.5,14.5,1653,1697,1686,5.479733817,11.68591632,15.32384342,1.163944344,1.110783736,1.059311981,103,1
"University of Edinburgh",57.9,55.8,53.2,6.9,6.3,6.8,7631,7557,7157,39237,84165,126321,2.15,2.28,2.38,21.6,24.2,24.9,44.2,47,45.3,5.1,11.1,17.6,6791,6659,6314,5.777794139,12.63928518,20.00649351,1.123693123,1.134855083,1.133512829,188,1
"University of Michigan Ann Arbor",35.9,34.6,34.3,5.2,5.1,5,14984,14314,13692,64054,139853,212649,1.92,2.03,2.15,20,23.5,24.7,40.8,44.6,44.5,4.3,9.8,15.5,14585,13443,12833,4.391772369,10.40340698,16.57048235,1.027356874,1.064792085,1.066936804,209,1
"Peking University",33.8,33.3,32.3,3.2,3.1,2.5,14139,12842,12579,62904,121232,171846,1.46,1.62,1.54,21.1,23.2,22.2,41,41.6,41.4,4.4,9.4,13.7,19662,18069,17337,3.199267623,6.709391776,9.912095518,0.719102838,0.710720018,0.725558055,185,1
"University of Tokyo",37.2,35.5,33.2,5.9,5.9,6.6,12413,12026,11958,43602,89461,134172,1.27,1.35,1.38,16,16.7,16.9,34.7,36.6,36.8,3.5,7.4,11.2,11914,11760,11681,3.659728051,7.607227891,11.48634535,1.041883498,1.022619048,1.023713723,164,1
"Johns Hopkins University",42.2,40.3,39.1,5.9,6.2,5.7,14040,13589,13159,73556,150926,229198,2.18,2.2,2.34,22.1,26.2,26.4,39.9,44.8,44.4,5.2,11.1,17.4,13492,13128,12260,5.451823303,11.49649604,18.69477977,1.040616662,1.035115783,1.073327896,239,1
"Duke University",39.4,37.2,36.7,6.4,6.7,6.3,9496,9045,8731,45102,91906,143637,2.06,2.12,2.18,21.2,24.5,25,43.8,46.2,46.9,4.7,10.2,16.5,9028,8745,8212,4.995790873,10.50954831,17.49111057,1.051838724,1.034305317,1.063200195,190,1
"University of Hong Kong",68,66.4,66.2,2.1,2.4,2.4,5768,5525,5315,24034,51513,73892,1.74,1.91,1.95,20.4,21.7,21.6,45.1,44.6,43.5,4.2,9.3,13.9,5230,5095,4926,4.59541109,10.11050049,15.00040601,1.102868069,1.084396467,1.078968737,138,1
"University of Manchester",56.6,53.7,52.4,8.1,8.4,7.8,8306,8026,8276,36778,79177,121985,1.85,1.96,2.02,22.3,23.4,23.8,42.3,42.9,43.5,4.4,9.9,14.7,7370,7082,6958,4.990230665,11.18003389,17.53161828,1.127001357,1.133295679,1.189422248,170,1
"University of California at Berkeley",47.9,45.9,44.3,5.9,5.6,5.9,9268,9271,9080,53372,111893,173188,2.21,2.3,2.42,27,28.8,30.6,50.5,52.1,52.4,5.8,12.1,19.1,8477,8325,8046,6.296095317,13.4406006,21.52473279,1.093311313,1.113633634,1.128511061,218,1
"Australian National University",58.8,56.5,54.9,2.8,2.5,2.2,4951,4944,4863,21362,47301,73001,1.89,2.05,2.13,19.8,19.6,21.2,39.6,41.5,41.4,4.3,9.6,15,3623,3560,3492,5.896218603,13.28679775,20.90521191,1.36654706,1.388764045,1.392611684,138,1
"University of Toronto",52.9,51.4,50.9,4.5,4.9,4.4,18574,17649,17267,83030,176543,269032,2,2.02,2.17,19.9,22.1,22.3,37.7,40.9,40.7,4.5,10,15.6,19639,18833,18076,4.227812007,9.374130516,14.88338128,0.94577117,0.937131631,0.955244523,254,1
"Northwestern University",34.9,33.2,32.2,4.8,4.8,4.8,8497,8332,7912,47915,101395,141394,2.24,2.29,2.33,24.2,26.7,26.3,46.4,49,49.4,5.6,12.2,17.9,8022,7698,7451,5.972949389,13.17160301,18.97651322,1.059212167,1.082359054,1.06187089,193,1
"Hong Kong University of Science and Technology",75.4,73.2,72.2,4,3.5,3.7,2905,2724,2659,16663,30806,46432,1.96,2.12,2.16,27.4,28.7,28.9,54.5,54,55.1,5.7,11.3,17.5,2502,2262,2280,6.659872102,13.61892131,20.36491228,1.161071143,1.204244032,1.16622807,117,1
"King's College London",56.7,52.9,53.4,5.4,4.8,5.1,8349,7977,7717,39984,88835,123858,2.07,2.32,2.22,21.9,23.9,24.1,42.9,44.6,45.2,4.8,11.1,16.1,7057,7126,6539,5.665863681,12.46632052,18.94142835,1.183080629,1.119421836,1.18014987,174,1
"Kyoto University",35.4,33.7,33.2,5.5,6.1,5.6,7943,7784,7701,28952,62667,90411,1.27,1.48,1.47,16.2,16.8,17.1,35.5,38.7,38.1,3.6,8.1,11.7,8048,8017,7652,3.597415507,7.816764376,11.81534239,0.98695328,0.970936759,1.006403555,142,1
"McGill University",55.8,55.1,54.4,3.8,3.7,3.5,8803,8677,8304,36557,79706,122395,1.77,1.89,1.98,19.3,22.4,23.1,38.9,42.8,44.3,4.2,9.2,14.7,8812,8722,8185,4.148547435,9.138500344,14.95357361,0.998978665,0.994840633,1.01453879,169,1
"University of California at Los Angeles",41.4,40.7,40,6.5,6.8,6.7,12573,12125,11687,64379,126481,190648,2.13,2.16,2.23,21.7,25.2,24.5,43.7,46.5,46.8,5.1,10.4,16.3,12223,11959,11535,5.267037552,10.57621875,16.527785,1.028634541,1.013880759,1.013177287,217,1
"Seoul National University",29.5,28.1,28,5.8,6,6,10337,9989,9597,35156,84371,117577,1.33,1.63,1.58,14.8,16.4,15.9,36.1,38.3,37.2,3.4,8.4,12.3,11723,11421,10990,2.998891069,7.387356624,10.69854413,0.881770878,0.874616934,0.873248408,169,1
"University of Melbourne",52.9,50.9,49.4,3.8,4,4.1,11740,10939,10438,51700,110337,157675,1.93,2.06,2.06,19.7,21.8,22.6,40.5,42,42,4.4,10.1,15.1,9839,9217,8796,5.254599045,11.97103179,17.92576171,1.193210692,1.186828686,1.186675762,196,1
"New York University",37.1,35.4,34.8,5.5,4.6,5.1,8893,8582,8298,39101,78066,116941,2.07,1.98,2.21,17.8,20.5,22.2,39.9,40,40.5,4.4,9.1,14.1,8324,8051,7890,4.697381067,9.696435225,14.82141952,1.068356559,1.06595454,1.051711027,177,1
"Fudan University",30.6,30.3,30.2,2.7,2.8,2.8,9719,9091,8477,37085,76060,108152,1.36,1.46,1.49,18.7,20.4,20.4,36,38,38.3,3.8,8.4,12.8,15681,14831,13524,2.364963969,5.128447171,7.997042295,0.619794656,0.612972827,0.626811594,141,1
"Korea Advanced Institute of Science and Technology",28.3,27.9,25.5,6.7,6.5,8,4107,3993,4046,13096,29122,43397,1.2,1.35,1.31,16.7,18.5,18.4,47.3,47.3,46.3,3.2,7.3,10.7,4649,4630,4565,2.816949882,6.289848812,9.506462212,0.883415788,0.862419006,0.886308872,107,1
"University of Sydney",52.2,51.3,50,3,3.1,2.6,11210,10793,10255,48436,103587,155266,1.97,2.09,2.1,19.5,20.4,21,36.9,39.3,38,4.3,9.6,15.1,8836,8655,8376,5.481665912,11.96845754,18.53701051,1.268673608,1.247024841,1.224331423,185,1
"University of New South Wales",56.1,52,51,2.7,2.6,2.8,9876,9249,9010,42338,85734,119495,1.84,1.94,1.85,20.8,20.7,20.7,40.4,41.2,41.7,4.3,9.3,13.3,7683,7391,7110,5.510607835,11.59978352,16.80661041,1.285435377,1.251386822,1.267229255,161,1
"London School of Economics and Political Science",48.8,41.4,42.3,3.2,2.8,2.7,1757,1777,1531,5213,11590,12759,2.05,2.54,2.08,12.1,11.3,14,41.2,38.3,39.8,3,6.5,8.3,1161,1165,1057,4.490094746,9.948497854,12.07095553,1.51335056,1.525321888,1.448438978,65,1
"University of California at San Diego",43.4,42.6,42,7,6.9,6.8,9974,9664,9378,54536,108469,173597,2.14,2.19,2.27,25.2,27.1,27.9,46.9,47.7,49.1,5.5,11.2,18.5,9661,9244,9142,5.644964289,11.73398961,18.98895209,1.032398302,1.045434877,1.02581492,212,1
"Chinese University of Hong Kong",71.1,69.3,68.6,3.5,2.9,3,5216,4818,4489,24207,55634,67877,1.94,2.27,2.13,21,23.3,21.7,44.1,46,42.8,4.6,11.5,15.1,4749,4333,4174,5.097283639,12.83960305,16.26185913,1.098336492,1.111931687,1.075467178,137,1
"University of Queensland",56,54.1,49.6,3.3,3.1,3.1,9950,9334,9139,44042,86659,127294,1.85,1.89,1.98,21.1,21.9,21.8,42.3,44,42.6,4.4,9.3,13.9,8379,8034,7744,5.256235828,10.78653224,16.43775826,1.187492541,1.161812298,1.180139463,172,1
"Carnegie Mellon University",45.7,41.2,41,10.1,9.3,9.9,3972,3884,3848,17720,36097,54341,2.21,2.24,2.29,19.5,22.5,22.9,43.4,45.9,45.5,4.5,9.3,14.1,3408,3252,3230,5.199530516,11.0999385,16.82383901,1.165492958,1.194341943,1.191331269,134,1
"University of Bristol",54.6,51.4,50.1,7.3,8.4,8.9,5894,5647,5447,28804,58908,85017,2.08,2.13,2.18,20.9,23,23.2,45.1,48.2,46.6,4.9,10.4,15.6,4916,4723,4556,5.859235151,12.47258099,18.66044776,1.198942229,1.195638365,1.195566286,149,1
"Delft University of Technology",58.4,57.5,56.3,8,7.2,8.3,5641,5214,5015,19650,37086,49916,1.64,1.67,1.53,17.1,19.3,18.4,43.1,42.3,41.4,3.5,7.1,10,4874,4412,4131,4.031596225,8.405711695,12.08327282,1.157365613,1.181776972,1.21399177,105,1
"University of British Columbia",57.2,55.1,55.3,3.7,4.4,4.3,10769,10104,10068,47306,97717,153321,1.91,2.05,2.12,19.3,21.7,22.3,39,42.2,41.3,4.4,9.7,15.2,10536,10298,9875,4.489939256,9.488929889,15.52617722,1.022114655,0.981161391,1.019544304,197,1
"City University of Hong Kong",76.8,73.4,72.7,1.9,1.7,1.6,3889,3490,3248,18340,33683,43889,1.73,1.9,1.68,23.8,26,23.7,52.5,51.4,49.8,4.7,9.7,13.5,2453,2276,2085,7.476559315,14.79920914,21.0498801,1.585405626,1.533391916,1.557793765,112,1
"PSL Research University",61.1,57.5,56.2,6,6,5.8,8703,8785,8470,39062,78395,127384,1.67,1.6,1.76,20.5,21.2,22.1,40.3,41.1,41.1,4.5,8.9,15,8684,8519,8390,4.498157531,9.20237117,15.18283671,1.002187932,1.031224322,1.009535161,168,1
"Zhejiang University",31.5,29.7,28.7,2.3,2.4,2.3,14585,13185,12395,51556,96698,129555,1.24,1.26,1.22,18.6,19.4,18,37.4,36.9,36.2,3.5,7.3,10.5,22072,20089,18438,2.335810076,4.813480014,7.026521315,0.660791954,0.656329334,0.672252956,147,1
"Technical University of Munich",51.7,48.6,49.8,9.6,9.9,9.4,8090,7871,7615,36099,68540,100827,1.91,1.83,1.83,19.7,21.3,21.8,39.8,38.7,42.7,4.5,8.7,13.2,7912,7692,7349,4.562563195,8.910556422,13.71982583,1.022497472,1.023270931,1.036195401,152,1
