@relation universities-weka.filters.unsupervised.attribute.Remove-R1

@attribute intCol2018 numeric
@attribute intCol2017 numeric
@attribute intCol2016 numeric
@attribute acaCol2018 numeric
@attribute acaCol2017 numeric
@attribute acaCol2016 numeric
@attribute pub2018 numeric
@attribute pub2017 numeric
@attribute pub2016 numeric
@attribute cit2018 numeric
@attribute cit2017 numeric
@attribute cit2016 numeric
@attribute fwCitImp2018 numeric
@attribute fwCitImp2017 numeric
@attribute fwCitImp2016 numeric
@attribute pubTCP2018 numeric
@attribute pubTCP2017 numeric
@attribute pubTCP2016 numeric
@attribute pubTJP2018 numeric
@attribute pubTJP2017 numeric
@attribute pubTJP2016 numeric
@attribute citPP2018 numeric
@attribute citPP2017 numeric
@attribute citPP2016 numeric
@attribute authors2018 numeric
@attribute authors2017 numeric
@attribute authors2016 numeric
@attribute citPA2018 numeric
@attribute citPA2017 numeric
@attribute citPA2016 numeric
@attribute pubPA2018 numeric
@attribute pubPA2017 numeric
@attribute pubPA2016 numeric
@attribute h5Index numeric
@attribute class {1,2}

@data
61.7,60.7,57.7,7.7,7.4,6.8,3702,3474,3380,16278,31054,45014,1.74,1.84,1.79,18.6,20.3,19.7,42.2,41,42.7,4.4,8.9,13.3,3410,3176,3117,4.773607,9.777708,14.44145,1.08563,1.093829,1.084376,113,2
81.3,83.5,83.3,1,1.6,2,4652,4675,4725,30670,62657,82355,2.26,2.24,1.96,28,29.2,27.5,33.6,33.2,34.6,6.6,13.4,17.4,2798,2708,2538,10.961401,23.13774,32.448779,1.662616,1.726366,1.861702,168,2
56.1,55,52.3,6.3,7.6,8,2726,2555,2572,8320,17287,28011,1.42,1.5,1.56,15.5,17.3,17.5,37.3,42.4,41.1,3.1,6.8,10.9,2366,2246,2282,3.516484,7.696794,12.274759,1.152156,1.137578,1.127082,88,2
54.8,53.1,51.7,5.3,5.2,4.7,7341,6973,6628,35572,65989,98642,1.96,1.81,2,20.8,21.9,21.7,38,38.8,39.2,4.8,9.5,14.9,8545,8072,7769,4.162902,8.17505,12.696872,0.859099,0.86385,0.853134,166,2
41.6,39.2,39.5,3.9,3.7,4.1,9278,8933,8086,31560,60995,82220,1.59,1.52,1.45,16.5,17.1,16.9,35.6,37.1,37.6,3.4,6.8,10.2,8691,8377,7737,3.631343,7.281246,10.626858,1.067541,1.066372,1.045108,132,2
55.3,53.9,53.8,1.5,1.6,1.9,3152,3102,3088,9639,18240,27820,1.19,1.21,1.16,13.7,13.8,13.9,23.8,25.1,25,3.1,5.9,9,4211,4127,4008,2.289005,4.419675,6.941118,0.748516,0.751636,0.770459,85,2
67.1,65.1,65.9,3.5,2.9,3.4,3726,3500,3290,19472,34469,58457,1.94,1.9,2.02,23.1,25.3,26.3,45.6,46.5,48,5.2,9.8,17.8,2824,2862,2699,6.895184,12.043676,21.658763,1.319405,1.222921,1.21897,130,2
60.1,58.1,57.3,6.3,7.1,7.5,2925,2916,2932,9768,17910,27297,1.59,1.37,1.42,16,16.4,15.6,29.9,32.6,33.8,3.3,6.1,9.3,2482,2342,2427,3.935536,7.64731,11.247219,1.178485,1.24509,1.208076,80,2
47.8,47.3,47,3,3.1,3,6496,6179,5849,31579,52880,82713,1.8,1.65,1.85,20.1,19.5,21.1,33.8,35.8,36,4.9,8.6,14.1,7606,7485,7211,4.151854,7.064796,11.470392,0.854063,0.825518,0.811122,146,2
60,60,58.6,5.2,6.7,5.8,2050,2250,2340,8574,26938,40584,1.84,2.59,2.45,19.8,23.3,22.6,41.1,45.1,45.4,4.2,12,17.3,1828,1872,1859,4.690372,14.389957,21.831092,1.121444,1.201923,1.258741,114,2
62.7,60.4,57.1,4.5,4.1,4.1,2809,2638,2609,11252,21623,29722,1.69,1.7,1.64,19.5,20.7,19,40.8,41,41.6,4,8.2,11.4,2426,2337,2372,4.638087,9.25246,12.530354,1.157873,1.128798,1.099916,101,2
35.2,31.9,30.9,6.7,7.2,8.5,2489,2441,2346,6346,13093,18575,1.14,1.14,1.17,11.1,12,12.4,28.8,30,29.6,2.5,5.4,7.9,2534,2419,2325,2.504341,5.412567,7.989247,0.982242,1.009095,1.009032,83,2
56.4,54,52.3,4,4.7,3.6,4222,3975,3854,20982,34897,56302,1.81,1.63,1.76,21.2,23.5,25.1,41.3,41.6,43.4,5,8.8,14.6,4111,3853,3822,5.103868,9.057098,14.731031,1.027001,1.031664,1.008373,129,2
64.8,60.7,59.8,4.4,4.6,4.5,3827,3699,3682,16414,32561,48984,1.97,2.01,2.08,18.5,16.3,17.7,33.9,34.7,34.2,4.3,8.8,13.3,3154,3101,3032,5.204185,10.500161,16.155673,1.21338,1.192841,1.21438,124,2
34.2,32,32.8,4.6,4,4.9,5323,5003,4667,24197,42148,70803,1.9,1.86,2.23,19.3,20.2,22.6,39.2,39.4,41.6,4.5,8.4,15.2,5058,4724,4485,4.783907,8.9221,15.786622,1.052392,1.05906,1.04058,136,2
22.4,22.2,23.1,6.7,6.2,6.9,3442,3379,3222,8661,20266,29425,1.09,1.19,1.19,11.2,11.9,13.7,28.6,29.1,32,2.5,6,9.1,3620,3657,3436,2.392541,5.541701,8.563737,0.950829,0.923981,0.937718,86,2
